Subject,Run,Study,MaskVoxels,StandardVoxels,CoveragePercent
sub-10317,1,RF1,103363,108014,95.6900
sub-10317,1,RF1,103515,108014,95.8300
sub-10369,1,RF1,102495,108014,94.8900
sub-10369,1,RF1,102504,108014,94.8900
sub-10402,1,RF1,99517,108014,92.1300
sub-10402,1,RF1,99418,108014,92.0400
sub-10418,1,RF1,106364,108014,98.4700
sub-10418,1,RF1,106384,108014,98.4900
sub-10462,1,RF1,108552,108014,100.4900
sub-10462,1,RF1,108145,108014,100.1200
sub-10478,1,RF1,106703,108014,98.7800
sub-10478,1,RF1,106759,108014,98.8300
sub-10486,1,RF1,103483,108014,95.8000
sub-10486,1,RF1,103465,108014,95.7800
sub-10529,1,RF1,104495,108014,96.7400
sub-10529,1,RF1,104771,108014,96.9900
sub-10541,1,RF1,102508,108014,94.9000
sub-10541,1,RF1,102948,108014,95.3000
sub-10559,1,RF1,98386,108014,91.0800
sub-10559,1,RF1,98429,108014,91.1200
sub-10572,1,RF1,103080,108014,95.4300
sub-10572,1,RF1,102392,108014,94.7900
sub-10581,1,RF1,102295,108014,94.7000
sub-10581,1,RF1,102372,108014,94.7700
sub-10584,1,RF1,105057,108014,97.2600
sub-10584,1,RF1,105545,108014,97.7100
sub-10585,1,RF1,107830,108014,99.8200
sub-10585,1,RF1,107734,108014,99.7400
sub-10589,1,RF1,101915,108014,94.3500
sub-10589,1,RF1,101478,108014,93.9400
sub-10590,1,RF1,103613,108014,95.9200
sub-10590,1,RF1,103389,108014,95.7100
sub-10596,1,RF1,103609,108014,95.9200
sub-10596,1,RF1,103751,108014,96.0500
sub-10603,1,RF1,103405,108014,95.7300
sub-10603,1,RF1,103246,108014,95.5800
sub-10606,1,RF1,103999,108014,96.2800
sub-10606,1,RF1,104099,108014,96.3700
sub-10608,1,RF1,102252,108014,94.6600
sub-10608,1,RF1,103216,108014,95.5500
sub-10617,1,RF1,105287,108014,97.4700
sub-10617,1,RF1,105223,108014,97.4100
sub-10636,1,RF1,105057,108014,97.2600
